,state_code,state,district,sero_0,N_0,sero_1,N_1,sero_2,N_2,sero_3,N_3,sero_4,N_4,sero_5,N_5,sero_6,N_6,N_tot,Rt,Rt_upper,Rt_lower,S0,I0,R0,D0,dT0,dD0,V0
50,AS,Assam,Dima Hasao,0.28560525,85570.0,0.28560525,49893.0,0.30379520000000004,30780.0,0.3039533,22919.0,0.30400040000000006,13538.0,0.26093656,7013.0,0.24256572,4279.0,213992.0,0.0,0.0,0.0,152002.48985419,0.0,61989.510145809996,0,0.0,0,8103.128647894846
51,AS,Assam,Goalpara,0.26781487,424578.0,0.26781487,225931.0,0.2875978,137224.0,0.28250772,102607.0,0.28546809999999995,59494.0,0.2504621,34824.0,0.23531386,23109.0,1007767.0,2.24493185496151,4.346896328482171,0.0,715613.3420424496,18341.485252940387,273812.17270461,0,3056.914208823397,0,38160.61183643802
52,AS,Assam,Golaghat,0.26177716,381269.0,0.26177716,247884.0,0.2837024,166663.0,0.2776427,122422.0,0.27965808,74401.0,0.24578236,47615.0,0.23302236,26228.0,1066482.0,1.8567126243494159,3.763936011922201,0.0,777244.567995982,4641.800408378069,284591.63159564,4,608.7607092954865,0,40383.94354304923
53,AS,Assam,Hailakandi,0.26028094,278859.0,0.26028094,141062.0,0.28209966,90235.0,0.2763757,66008.0,0.28083414,39851.0,0.24539122,27025.0,0.23299253,15965.0,659005.0,0.0,0.0,0.0,484466.35259347,0.0,174538.64740653,0,0.0,0,24954.21461833126
54,AS,Assam,Hojai,0.26732308,1169951.0,0.26732308,608326.0,0.2878442,390531.0,0.28412044,287503.0,0.2880552,174928.0,0.25225723,113790.0,0.23642813,77394.0,2822423.0,3.1665190874560465,3.3966402239693636,2.933286374795378,2026909.6226537093,28649.941561090876,766863.4357851999,0,4774.990260181818,0,106875.28817795673
55,AS,Assam,Jorhat,0.27434456,356042.0,0.27434456,248866.0,0.29267344,179506.0,0.29033735,136044.0,0.29524687,83154.0,0.25751853,56244.0,0.24113043,31664.0,1091520.0,1.5199264507192254,1.9497802654920917,1.0790866989214223,780897.5118051369,5955.99176552298,304658.49642934004,8,560.5639308727508,0,41332.045037899465
56,AS,Assam,Kamrup,0.26317236,547637.0,0.26317236,348138.0,0.28338736,233904.0,0.27718753,174328.0,0.28033933,103603.0,0.24623992,68148.0,0.23208661,40989.0,1516747.0,2.5674830809831457,2.8274612147901212,2.3035265901938926,1085841.707341878,25216.335364402097,405687.9572937199,1,3475.04268272679,0,57433.904385717986
57,AS,Assam,Kamrup Metropolitan,0.341715,358648.0,0.341715,300805.0,0.34449428,227409.0,0.35817540000000003,174091.0,0.3694363,103291.0,0.32825577,56179.0,0.29019788,31438.0,1251861.0,2.0773845684923287,2.3193646692189698,1.8319615274587355,763536.8632203664,33644.56816146802,454613.56861816556,66,2389.106289872697,0,47403.59794890598
58,AS,Assam,Karbi Anglong,0.26660517,400191.0,0.26660517,218442.0,0.28588727,136398.0,0.28070387,97341.0,0.28288179999999996,53170.0,0.24609009999999998,30557.0,0.23220102,19396.0,955495.0,2.6806582263109826,2.8330052103214367,2.5269536957143512,669598.7891677998,27582.635960840154,258313.57487136003,0,6129.474657964475,0,36181.254006786636
59,AS,Assam,Karimganj,0.26219484,514913.0,0.26219484,264937.0,0.28408015,162147.0,0.27895576,122221.0,0.28224733,77762.0,0.24724072,51727.0,0.23314099,34501.0,1228208.0,1.1799460279629415,1.4480398823363125,0.9076195331888708,882088.4587121629,18709.164393937157,327410.3768939,0,2551.2496900823376,0,46507.94156030895
60,AS,Assam,Kokrajhar,0.25919962,355501.0,0.25919962,197170.0,0.2811387,128475.0,0.27436409999999994,96240.0,0.27688766,54670.0,0.24230145,32558.0,0.22971308,21728.0,886342.0,2.531998608184984,2.771819579580485,2.288796292747884,630251.8833763103,22296.403188629716,233793.71343505997,0,4459.280637725939,0,33562.671744889594
61,AS,Assam,Lakhimpur,0.26206413,409327.0,0.26206413,230058.0,0.28310147,156902.0,0.27734159999999997,111970.0,0.27982816,64532.0,0.24479513,42747.0,0.23083649999999997,26336.0,1041872.0,2.9959946917851212,3.59185713780695,2.378811767630576,761974.0790637453,2256.4830710346578,277634.43786522,7,470.1006397988825,0,39452.048911358834
62,AS,Assam,Majuli,0.27434456,356042.0,0.27434456,248866.0,0.29267344,179506.0,0.29033735,136044.0,0.29524687,83154.0,0.25751853,56244.0,0.24113043,31664.0,1091520.0,0.0,0.0,0.0,786861.50357066,0.0,304658.49642934004,0,0.0,0,41332.045037899465
63,AS,Assam,Morigaon,0.26144964,408546.0,0.26144964,204191.0,0.28230447,130972.0,0.27635196,94252.0,0.27926978,56289.0,0.24286743,36662.0,0.22965239999999998,25320.0,956232.0,2.1936986725699197,3.170182300370276,1.1586171900437154,691525.6706951894,11047.134128290665,253659.19517651995,0,2124.448870825125,0,36209.16161928383
64,AS,Assam,Nagaon,0.26732308,1169951.0,0.26732308,608326.0,0.2878442,390531.0,0.28412044,287503.0,0.2880552,174928.0,0.25225723,113790.0,0.23642813,77394.0,2822423.0,2.9171702213649606,3.170159609114666,2.6604150438887935,2024569.994695461,30989.569519339362,766863.4357851999,0,3595.4749166084384,0,106875.28817795673
65,AS,Assam,Nalbari,0.2641687,266260.0,0.2641687,175801.0,0.28468224,121330.0,0.27901992,89990.0,0.28205454,54824.0,0.24740012,38859.0,0.23355015,24126.0,771190.0,3.2055117446662025,3.9502428281593684,2.4271755408857096,555153.1336457081,8896.977600651939,207139.88875363997,0,1825.0210462875768,0,29202.268224840303
66,AS,Assam,Sivasagar,0.2627232,388028.0,0.2627232,260028.0,0.28374240000000006,184460.0,0.27736676,146487.0,0.27980274,86464.0,0.24503747,54200.0,0.23176771,31046.0,1150713.0,3.2181722992531254,5.042448365851511,1.178124737385608,816227.855511709,26585.695402951038,307898.44908533996,1,3709.6319166908434,0,43573.476932806
67,AS,Assam,Sonitpur,0.26210412,731210.0,0.26210412,428781.0,0.28357056,285068.0,0.27804056,216171.0,0.28152865,130821.0,0.24676189,82180.0,0.23298466,48647.0,1922878.0,2.5767365891362295,2.706156541129581,2.446338257454742,1383168.3994487443,26287.225597625715,513422.37495363003,0,4107.37899962904,0,72812.66499778845
68,AS,Assam,South Salmara Mankachar,0.26437768,865521.0,0.26437768,421071.0,0.2855968,255765.0,0.28087049999999997,183610.0,0.2851031,109047.0,0.2507316,66050.0,0.23515962,46648.0,1947712.0,0.0,0.0,0.0,1424329.30799698,0.0,523382.69200301997,0,0.0,0,73753.04172608587
69,AS,Assam,Tinsukia,0.27365834,491765.0,0.27365834,308109.0,0.29360884,199761.0,0.29208720000000005,152397.0,0.29725050000000003,90712.0,0.26053625,53843.0,0.24486767,30822.0,1327409.0,1.9507388145008853,2.202267032115997,1.6954885011151761,927920.3634777444,28892.084977965627,370596.55154429,0,1889.097863943907,0,50264.33649563278
70,AS,Assam,Udalguri,0.25718808,311246.0,0.25718808,187968.0,0.27922228,124978.0,0.27124536,96540.0,0.27350804,56572.0,0.23986517,33443.0,0.22863957,19947.0,830694.0,1.0157673447003004,1.396568278065942,0.6263698171053252,609236.4355179664,3927.623926693632,217529.94055533997,0,604.2498348759443,0,31455.476602089617
71,AS,Assam,West Karbi Anglong,0.26660517,400191.0,0.26660517,218442.0,0.28588727,136398.0,0.28070387,97341.0,0.28288179999999996,53170.0,0.24609009999999998,30557.0,0.23220102,19396.0,955495.0,0.39410328108054815,0.4293327685548268,0.35880169371837556,697181.4251286399,0.0,258313.57487136003,0,0.0,0,36181.254006786636
72,BR,Bihar,Araria,0.2595822,1364567.0,0.2595822,508376.0,0.28015602,359885.0,0.27258354,252127.0,0.27520493,155502.0,0.24138555,117691.0,0.22951254,50898.0,2809046.0,2.312134624015427,2.440433886867962,2.182873915266773,1906809.530279046,0.0,926970.4862773634,0,5864.896128459373,0,145093.6780864055
